"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014",
"Aruba","ABW","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","3","1","2","1","2","1","10","10","3","9","10","9","6","6","6","6","7","","",
"Afghanistan","AFG","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6339095","6306301","4552153","3374576","2731169","2679133","2674236","2676674","2667115","2568243","3587336","3809767","2510285","2136043","2414476","2166149","2107519","3055698","2833128","2887123","3054709","2664436","2586152","","",
"Angola","AGO","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","407760","381636","300492","323831","282577","246657","249687","267696","319430","350645","433760","470625","435421","329583","228858","215827","206501","186155","171393","141021","134858","128664","19258","","",
"Albania","ALB","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1822","3540","4353","4744","5019","5803","5785","5379","5353","4325","6802","7626","10761","10385","10478","12722","14079","15340","15006","15711","14772","13551","12568","","",
"Arab World","ARB","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2212498","2408680","2614885","1906599","2001784","2005056","2035564","1864336","1806135","1715670","1672736","1873009","1895573","1831115","1880614","1797793","3023894","3722824","3328247","3029306","3034372","3205416","3359110","","",
"United Arab Emirates","ARE","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","7","10","16","18","31","20","71","30","265","308","256","414","424","486","584","","",
"Argentina","ARG","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","334","198","113","98","469","330","217","159","142","472","609","659","771","784","796","856","894","1171","1047","608","557","518","447","","",
"Armenia","ARM","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","195003","200116","201842","201442","203231","203690","193150","192230","5786","7206","13246","13162","13411","13965","14917","15436","16336","18000","17547","16487","15935","","",
"American Samoa","ASM","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2","1","1","4","5","5","8","13","19","25","26","28","30","32","45","","",
"Australia","AUS","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","1","1","2","1","3","3","1","10","15","13","44","29","63","43","28","37","39","48","","",
"Austria","AUT","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60","49","52","55","60","16","35","29","72","66","47","66","34","23","14","12","10","11","12","","",
"Azerbaijan","AZE","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","300000","328005","299095","200520","236086","234950","329657","310353","284277","268759","260217","253255","250589","233675","126068","15916","16319","16939","16753","16162","15537","","",
"Burundi","BDI","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","191622","223946","184135","871382","389706","350582","428680","519123","502568","526392","568084","553999","574555","531637","485454","438706","396541","375715","281592","94239","84064","101288","73363","","",
"Belgium","BEL","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","3","5","10","14","6","19","13","27","40","45","95","64","60","61","71","83","90","93","","",
"Benin","BEN","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","4","4","68","77","54","46","46","56","41","54","55","232","282","309","411","215","271","318","411","442","461","457","","",
"Burkina Faso","BFA","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","8","61","63","67","63","72","118","103","73","130","98","978","853","583","607","377","558","725","990","1145","1271","1460","","",
"Bangladesh","BGD","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","477","611","53921","57158","56199","56956","57959","44373","4658","2770","5401","5548","5790","5565","5731","7304","7803","10243","10098","10432","10049","10056","10161","","",
"Bulgaria","BGR","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1922","2735","2981","3155","4689","4156","3246","3048","3122","2045","2404","2121","2841","2567","2239","4254","3438","3311","3040","2745","2559","2327","2147","","",
"Bahrain","BHR","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39","52","53","60","75","71","63","82","97","105","95","46","49","52","52","41","62","73","80","79","87","215","297","","",
"Bahamas, The","BHS","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","0","1","1","1","1","14","14","15","15","17","185","196","","",
"Bosnia and Herzegovina","BIH","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","437501","618427","776084","769753","993868","849241","640075","554419","474981","447321","406326","300006","228815","109930","199946","78273","74366","70018","63004","58578","51822","","",
"Belarus","BLR","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","37","84","501","303","290","1431","2519","3696","6364","7815","8231","8857","9371","4970","5384","5525","5743","5925","6191","","",
"Belize","BLZ","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","8","3","","","11","12","0","1","10","9","8","18","17","20","17","23","32","39","","",
"Bermuda","BMU","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","1","1","0","0","2","0","0","","0","0","0","0","","",
"Bolivia","BOL","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","731","67","28","41","177","180","177","161","183","116","175","156","215","264","285","269","374","428","454","573","590","611","618","","",
"Brazil","BRA","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","11","11","12","41","53","85","104","136","169","224","254","441","378","403","370","707","1624","1404","973","994","1045","1076","","",
"Barbados","BRB","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","3","2","3","5","2","8","7","9","11","7","8","28","38","34","29","32","45","55","","",
"Brunei Darussalam","BRN","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","2","1","1","49","2","2","1","1","1","1","1","","",
"Bhutan","BTN","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9504","75442","85334","103271","104750","106822","108703","105689","107595","108945","110845","112523","103978","105255","106537","108073","110598","104965","89070","75070","57989","41590","","",
"Botswana","BWA","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","3","3","4","21","25","23","17","16","","3","2","5","5","6","4","11","16","26","30","53","85","127","","",
"Central African Republic","CAF","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","320","325","313","266","242","240","149","173","175","139","28704","25376","35400","31069","42890","71685","98104","125106","159554","164905","162862","164568","","",
"Canada","CAN","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","4","4","4","4","8","11","15","14","26","4","51","60","56","122","95","530","101","99","90","109","123","","",
"Central Europe and the Baltics","CEB","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90730","60785","218579","230375","163574","304331","349489","379281","362720","361682","351757","306045","320672","273473","248093","167220","128703","118509","112055","90157","78037","73982","72791","","",
"Switzerland","CHE","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","27","33","55","77","0","70","61","56","35","12","16","36","31","32","18","19","20","17","","",
"Channel Islands","CHI","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14548","14007","14043","15267","15474","14273","12805","9776","7011","1457","860","834","1709","1555","1194","938","805","970","994","1312","1170","1189","1152","","",
"China","CHN","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1426","2011","82576","111509","113907","104693","105810","106738","109402","129007","110975","117409","132110","132406","134726","124101","140598","149095","175180","180558","184602","190369","193453","","",
"Cote d'Ivoire","CIV","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","13","34","41","98","201","268","360","537","250","773","858","23741","33637","23653","18338","26315","22232","22227","23153","41758","154824","100720","","",
"Cameroon","CMR","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","1","83","173","238","2017","2109","2258","1348","1361","2062","2724","5223","6206","7626","9101","10385","11508","13870","14766","14963","15163","13382","","",
"Congo, Rep.","COG","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","4","7","11","32","177","221","21147","17143","27350","27579","24237","27994","28958","28149","24438","20608","19735","19925","20544","20679","12839","12119","","",
"Colombia","COL","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","494","740","843","1042","1363","1902","2168","2377","3538","3537","9279","17938","30617","37995","47381","60450","72796","551744","373532","389753","395577","395949","394117","","",
"Comoros","COM","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","2","2","2","5","10","13","10","33","22","28","26","43","58","50","61","72","96","378","268","368","422","454","","",
"Cabo Verde","CPV","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","2","2","1","4","2","4","8","9","8","5","40","32","30","24","25","27","25","","",
"Costa Rica","CRI","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","5","5","223","211","139","90","54","4","57","86","98","92","138","178","284","361","354","344","352","331","325","","",
"Caribbean small states","CSS","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6627","5927","2549","901","1028","929","875","776","643","97","538","471","522","688","1001","1608","2298","3041","3320","3563","3872","4576","5155","","",
"Cuba","CUB","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13523","17615","21273","22406","23316","24854","25462","24913","23559","22626","20084","18959","18034","16093","15675","19000","33580","7503","7938","7549","7477","7856","7731","","",
"Curacao","CUW","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","",
"Cyprus","CYP","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","","","","6","9","10","8","11","4","11","5","7","5","2","5","5","9","10","11","13","11","11","","",
"Czech Republic","CZE","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6123","4491","3327","5015","4648","2039","977","698","1934","350","810","1179","6984","6702","4542","3589","2138","1384","1358","1067","817","763","622","","",
"Germany","DEU","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","4","8","449","386","420","443","688","57","1183","1033","928","725","78","78","114","129","166","170","164","174","182","","",
"Djibouti","DJI","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","10","11","38","18068","18095","18101","8142","3219","1580","1910","452","470","522","495","504","485","648","650","622","566","602","640","","",
"Dominica","DMA","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","2","5","6","17","25","30","49","58","56","53","52","52","54","","",
"Denmark","DNK","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","18","34","33","28","0","25","3","8","10","10","12","12","14","11","10","9","9","9","","",
"Dominican Republic","DOM","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","29","30","29","47","42","7","47","46","83","92","97","67","150","358","318","230","246","250","289","","",
"Algeria","DZA","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19","55","71","86","20743","1520","2247","3418","5727","2978","8034","8419","12091","11667","10691","12041","8353","10615","9060","8185","6689","6121","5677","","",
"East Asia & Pacific (developing only)","EAP","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","694681","712095","976759","1013131","930497","932862","891041","870786","839464","933349","849428","792396","784808","707877","711153","727807","804962","724623","740993","976628","987173","988923","990050","","",
"East Asia & Pacific (all income levels)","EAS","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","694681","712100","976767","1013141","930793","933113","891211","870911","839599","933398","849550","792516","785145","708209","711527","728234","806634","726546","742465","977491","988066","989763","990937","","",
"Europe & Central Asia (developing only)","ECA","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66302","44638","1039085","1277967","1435477","1320678","1818959","1632194","1411335","1258317","944909","914336","1106499","984710","881439","752512","889552","595591","607445","547151","525450","492947","473753","","",
"Europe & Central Asia (all income levels)","ECS","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","215825","226365","1439381","1719925","1820070","1809665","2325585","2196464","1932985","1637289","1328710","1257922","1505907","1342325","1227667","1005151","1167146","796240","814013","738922","708333","670594","652000","","",
"Ecuador","ECU","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","27","40","47","174","206","221","217","512","331","671","653","818","730","727","775","887","1332","1066","1027","852","909","844","","",
"Egypt, Arab Rep.","EGY","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48","97","209","258","502","872","1202","1722","2612","2114","3953","4678","6442","5735","5376","6291","7613","6799","6780","6990","6913","7936","10020","","",
"Euro area","EMU","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28","13","70","28540","16160","14364","8138","8054","6498","4788","6228","3390","7644","7303","5739","5511","7595","1963","2004","2001","1757","1889","2083","","",
"Eritrea","ERI","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43","500633","503200","427213","422433","286712","332225","319077","346781","346714","376851","333229","318159","124121","131131","144066","193745","208748","186398","209168","222460","251954","285371","","",
"Spain","ESP","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42","36","218","215","60","11","80","48","58","53","49","49","2444","41","27","34","42","43","52","","",
"Estonia","EST","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","59","95","297","351","1310","1266","792","449","455","479","1060","1027","855","743","627","262","248","248","240","224","456","","",
"Ethiopia","ETH","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1345928","251241","313129","251828","226436","100987","96270","84401","70680","62530","66410","58997","61180","62677","63155","65461","74026","59858","63878","62889","68848","70610","74968","","",
"European Union","EUU","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90759","60797","218587","230389","164633","305418","351079","380822","364129","361921","353691","307498","322921","275486","249133","168834","131948","119385","112876","90931","78832","74820","73665","","",
"Fragile and conflict affected situations","FCS","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9665162","10366983","9447690","9102126","8115172","7582261","7963092","7361285","7023093","7067403","7992401","8085643","6758479","6020715","6205387","5634391","6854296","8293156","7541323","7466399","7689436","7626453","7854989","","",
"Finland","FIN","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","2","6","5","5","2","9","7","3","5","6","4","4","6","6","7","7","","",
"Fiji","FJI","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","19","89","156","222","305","326","301","309","401","731","1072","1087","1281","1379","1686","1828","1868","1892","1851","1579","1317","","",
"France","FRA","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","15","44","61","64","25","78","44","90","110","110","286","82","101","101","87","92","99","100","","",
"Faeroe Islands","FRO","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Gabon","GAB","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17","18","22","25","24","19","28","6","26","27","37","39","53","81","95","116","129","144","165","173","183","","",
"United Kingdom","GBR","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","2","108","77","73","79","92","73","113","109","164","149","144","135","174","201","185","156","153","150","153","","",
"Georgia","GEO","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6012","5117","308","48489","47164","35669","29067","21821","17498","16975","12497","6626","7301","6340","11810","12598","15020","10640","10112","9261","","",
"Ghana","GHA","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4691","4701","4776","4473","14289","13592","15095","14775","13633","12668","14775","14556","15686","15879","14772","18433","9960","5063","13242","14893","20203","20361","24298","","",
"Guinea","GIN","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","19","31","106","441","523","648","924","633","1497","2019","3418","3871","4782","5820","6840","8278","9495","10920","11985","13161","14061","","",
"Gambia, The","GMB","Refugee population by country or territory of origin","SM.POP.REFG.OR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","15","24","26","30","161","310","421","570","592","750","734","859","746","684","1683","1254","1267","1352","1973","2242","2583","3076","","",
